receipt_id,product_id,quantity_received,date
1,98,868,2024-07-09
2,53,707,2023-12-04
3,16,1175,2024-04-09
4,27,823,2023-11-21
5,89,241,2024-01-05
6,29,999,2024-01-03
7,9,383,2023-10-27
8,56,88,2024-10-16
9,44,993,2024-10-16
10,56,1171,2023-11-23
11,59,806,2024-05-05
12,45,183,2024-03-30
13,85,178,2024-03-10
14,28,137,2024-02-12
15,28,455,2024-02-09
16,9,504,2023-12-26
17,87,173,2024-04-13
18,55,830,2024-08-10
19,27,617,2024-11-22
20,88,114,2024-10-14
21,9,1089,2024-09-03
22,68,549,2023-12-27
23,98,188,2024-02-05
24,43,268,2024-03-12
25,30,300,2024-10-21
26,43,47,2024-11-13
27,55,250,2023-11-12
28,28,491,2024-10-15
29,29,321,2024-01-25
30,56,86,2024-05-11
31,38,549,2024-01-20
32,93,185,2024-09-29
33,29,163,2024-10-10
34,10,377,2023-11-09
35,96,1057,2024-12-18
36,5,179,2024-02-28
37,56,641,2024-06-30
38,27,574,2023-12-31
39,96,81,2024-12-11
40,43,97,2024-06-21
41,56,1138,2024-04-20
42,59,68,2024-11-25
43,56,253,2024-06-17
44,29,110,2024-05-07
45,29,849,2024-02-21
46,11,385,2024-08-05
47,77,138,2024-10-07
48,10,532,2024-10-26
49,29,520,2023-11-06
50,44,1160,2024-10-29
51,29,428,2024-03-17
52,56,762,2024-11-16
53,27,183,2024-08-10
54,86,133,2024-11-29
55,63,110,2024-12-15
56,28,733,2023-10-24
57,11,744,2023-11-10
58,99,926,2024-05-28
59,40,467,2024-06-12
60,28,566,2024-08-10
61,9,868,2024-08-26
62,28,929,2024-05-08
63,27,300,2024-10-06
64,63,706,2024-06-23
65,81,288,2024-04-20
66,9,1149,2024-03-31
67,34,395,2024-01-21
68,28,1044,2024-06-30
69,85,896,2024-01-13
70,92,131,2024-10-12
71,63,1067,2023-11-12
72,48,676,2024-10-18
73,75,852,2024-05-29
74,32,73,2023-10-27
75,9,528,2024-11-09
76,56,972,2024-12-07
77,90,647,2024-04-18
78,9,540,2024-05-16
79,64,382,2024-07-22
80,83,959,2024-09-18
81,99,545,2024-07-28
82,5,546,2024-12-21
83,56,917,2024-07-13
84,66,419,2024-01-15
85,28,1004,2024-09-30
86,27,406,2024-10-29
87,98,526,2023-10-27
88,63,437,2023-11-07
89,90,481,2024-07-13
90,49,181,2024-08-06
91,62,1083,2024-06-16
92,40,960,2024-04-18
93,1,751,2024-04-18
94,56,267,2023-12-09
95,29,677,2024-06-01
96,40,791,2024-09-08
97,40,572,2023-12-20
98,1,324,2024-05-26
99,6,543,2024-07-04
100,47,252,2024-09-13
101,56,416,2024-08-01
102,49,415,2024-12-01
103,27,935,2023-12-07
104,63,1103,2024-09-05
105,9,513,2023-12-01
106,92,659,2023-10-03
107,71,742,2024-10-17
108,29,52,2024-05-01
109,92,529,2024-03-15
110,63,1186,2024-01-08
111,1,547,2024-10-31
112,39,136,2024-08-15
113,29,531,2024-10-22
