sales_id,customer_id,product_id,unit_price,quantity,date
1,115,3,12.3,8,2024-03-23
2,77,9,11.73,28,2024-01-26
3,114,54,14.65,5,2024-10-28
4,9,77,30.35,18,2024-10-13
5,190,28,32.61,10,2024-05-16
6,100,1,6.33,4,2024-07-27
7,45,16,12.09,19,2024-12-01
8,120,9,11.16,2,2024-09-29
9,158,56,13.22,3,2024-04-05
10,158,28,25.92,2,2024-06-25
11,83,19,23.42,1,2024-06-11
12,28,37,36.74,3,2024-04-26
13,60,44,9.35,5,2024-09-13
14,133,78,6.76,2,2024-09-14
15,86,62,16.89,19,2024-12-27
16,71,9,11.12,10,2024-05-05
17,30,29,9.55,6,2024-05-23
18,20,81,7.99,12,2024-08-08
19,69,9,11.13,5,2024-03-07
20,148,27,18.24,18,2024-04-29
21,87,28,31.75,2,2024-06-07
22,31,98,5.63,10,2024-08-15
23,102,61,24.49,30,2024-03-29
24,4,27,18.23,5,2024-08-16
25,95,65,2.88,3,2024-03-24
26,2,72,8.79,8,2024-07-17
27,185,9,11.89,12,2024-01-05
28,119,63,7.39,4,2024-11-30
29,137,29,10.59,5,2024-10-29
30,105,13,22.3,2,2024-03-17
31,179,9,11.43,8,2024-06-09
32,12,53,28.03,7,2024-05-19
33,159,27,15.05,10,2024-10-16
34,100,27,17.74,2,2024-10-13
35,13,27,16.26,21,2024-04-11
36,178,72,9.02,3,2024-07-17
37,41,56,13.09,4,2024-04-02
38,173,87,16.68,26,2024-03-29
39,100,78,8.37,1,2024-06-23
40,20,27,18.08,6,2024-04-17
41,77,66,6.67,3,2024-03-29
42,12,40,20.21,6,2024-03-28
43,159,63,6.7,12,2024-12-19
44,200,49,22.91,7,2024-09-09
45,11,59,6.41,3,2024-03-22
46,66,27,18.75,5,2024-04-08
47,193,9,11.28,2,2024-01-13
48,103,29,11.41,20,2024-04-05
49,101,45,7.21,4,2024-10-05
50,166,71,14.84,22,2024-10-06
51,110,83,14.53,15,2024-08-12
52,200,9,12.09,2,2024-09-11
53,176,35,9.27,21,2024-08-06
54,79,100,6.09,16,2024-11-24
55,38,66,6.29,3,2024-04-16
56,20,80,14.6,15,2024-03-17
57,158,65,2.99,3,2024-03-19
58,139,54,14.72,2,2024-10-26
59,52,84,14.22,2,2024-12-13
60,169,56,12.86,5,2024-02-26
61,39,74,16.67,10,2024-11-11
62,105,96,6.29,3,2024-01-24
63,139,77,28.73,20,2024-06-12
64,83,28,30.74,4,2024-01-20
65,109,28,29.72,5,2024-11-14
66,200,28,29.67,5,2024-09-05
67,77,9,11.64,8,2024-12-09
68,101,25,20.39,3,2024-10-14
69,182,61,28.58,13,2024-12-16
70,162,56,13.68,10,2024-03-20
71,105,7,13.49,1,2024-03-22
