shipment_id,sales_id,product_id,quantity_sold,date
1,1,3,8,2024-04-09
2,2,9,28,2024-02-13
3,3,54,5,2024-10-30
4,4,77,18,2024-10-20
5,5,28,10,2024-05-22
6,6,1,4,2024-07-31
7,8,9,2,2024-09-30
8,9,56,3,2024-04-05
9,10,28,2,2024-06-28
10,12,37,3,2024-04-26
11,13,44,5,2024-09-16
12,15,62,19,2024-12-31
13,16,9,10,2024-05-09
14,17,29,6,2024-05-24
15,18,81,12,2024-08-09
16,19,9,5,2024-03-11
17,20,27,18,2024-05-01
18,22,98,10,2024-08-19
19,23,61,30,2024-03-29
20,24,27,5,2024-08-16
21,25,65,3,2024-04-07
22,26,72,8,2024-07-26
23,27,9,12,2024-01-10
24,28,63,5,2024-12-09
25,29,29,5,2024-11-04
26,30,13,2,2024-03-17
27,31,9,8,2024-06-11
28,32,53,7,2024-05-24
29,34,27,2,2024-10-22
30,35,27,21,2024-04-14
31,36,72,3,2024-07-29
32,37,56,4,2024-04-02
33,38,87,26,2024-03-29
34,39,78,1,2024-06-24
35,41,66,3,2024-03-30
36,42,40,6,2024-04-10
37,43,63,12,2024-12-20
38,44,49,7,2024-09-11
39,45,59,3,2024-04-02
40,46,27,5,2024-04-08
41,47,9,2,2024-01-13
42,48,29,20,2024-04-06
43,49,45,4,2024-10-09
44,50,71,22,2024-10-12
45,51,83,15,2024-08-14
46,52,9,2,2024-09-11
47,53,35,21,2024-08-10
48,54,100,16,2024-11-27
49,55,66,3,2024-04-16
50,57,65,3,2024-03-21
51,58,54,2,2024-10-28
52,59,84,1,2024-12-15
53,60,56,5,2024-02-29
54,61,74,10,2024-11-14
55,62,96,3,2024-01-27
56,63,77,20,2024-06-26
57,64,28,4,2024-01-23
58,65,28,5,2024-11-18
59,66,28,5,2024-09-14
60,67,9,8,2024-12-10
61,68,25,3,2024-10-16
62,69,61,13,2024-12-20
63,70,56,10,2024-03-20
64,71,7,1,2024-03-23
65,74,56,20,2024-03-03
66,75,9,4,2024-02-27
67,76,48,6,2024-12-25
68,77,60,2,2024-05-24
69,78,68,1,2024-04-17
70,79,27,23,2024-04-08
71,80,13,3,2024-01-29
72,81,28,2,2024-07-20
73,82,27,8,2024-02-28
74,84,29,3,2024-11-01
75,85,100,1,2024-05-27
76,86,56,9,2024-10-14
77,87,29,13,2024-10-27
78,88,63,3,2024-05-25
79,89,33,19,2024-01-24
80,90,27,4,2024-12-04
81,91,86,10,2024-04-16
82,92,29,4,2024-10-05
83,93,29,6,2024-12-03
84,94,99,3,2024-11-16
85,95,27,3,2024-11-03
86,96,26,6,2024-11-03
87,97,28,6,2024-08-28
88,98,63,2,2024-07-06
89,100,13,6,2024-01-02
90,101,63,10,2024-02-29
91,102,27,1,2024-02-24
92,103,29,4,2024-10-20
93,104,29,17,2024-11-06
94,105,62,6,2024-06-20
95,106,27,29,2024-10-28
96,107,5,8,2024-10-18
97,108,63,1,2024-11-19
98,109,83,10,2024-03-01
99,110,60,1,2025-01-02
100,111,27,4,2024-10-16
101,112,36,1,2024-05-01
102,113,23,7,2024-06-24
103,115,36,6,2024-06-28
104,116,55,3,2024-04-16
105,118,27,22,2024-08-15
106,119,86,10,2024-10-28
107,120,59,3,2024-10-10
108,121,66,4,2024-06-06
109,122,63,7,2024-04-13
110,123,29,13,2024-09-22
111,125,42,10,2024-10-28
112,126,27,1,2024-04-21
113,127,98,6,2024-10-02
114,129,28,4,2024-07-11
115,130,9,18,2024-12-29
116,131,29,6,2024-05-07
117,132,46,1,2024-01-08
118,133,49,3,2024-06-22
119,134,81,10,2024-09-30
120,135,100,5,2024-06-18
121,136,27,1,2024-02-27
122,137,27,7,2024-02-22
123,138,54,18,2024-09-19
124,139,56,8,2024-03-29
125,140,47,19,2024-05-07
126,141,28,10,2024-05-20
127,142,27,7,2024-01-16
128,143,63,5,2024-06-10
129,144,9,5,2024-01-22
130,145,82,2,2024-05-30
131,146,57,10,2024-09-04
132,147,28,3,2024-04-18
133,148,99,1,2024-08-05
134,149,95,7,2024-08-11
135,150,29,1,2024-11-20
136,151,56,4,2024-10-13
137,152,85,2,2024-11-04
138,153,14,7,2024-12-11
139,154,10,2,2024-02-09
140,155,11,1,2024-02-18
141,156,7,7,2024-11-15
142,157,84,2,2024-01-28
143,158,76,13,2024-05-26
144,159,63,1,2024-10-07
145,161,28,5,2024-07-13
146,162,27,4,2024-05-28
147,163,52,7,2024-09-11
148,164,63,4,2024-10-12
149,165,28,3,2024-08-05
150,166,60,1,2024-05-19
151,167,75,7,2024-01-17
152,168,56,1,2024-02-05
153,169,43,3,2024-03-28
154,170,71,13,2024-11-04
155,172,39,17,2024-11-30
156,173,24,4,2024-05-20
157,174,91,9,2024-07-08
158,175,68,3,2024-04-30
159,176,9,5,2024-07-28
160,177,97,15,2024-07-16
161,178,37,26,2024-08-09
162,179,58,5,2024-07-10
163,180,41,7,2024-01-04
164,181,28,14,2024-04-20
165,182,16,1,2024-01-28
166,183,36,2,2024-12-15
167,184,17,16,2024-09-08
168,185,17,15,2024-06-19
169,186,9,14,2024-06-15
170,187,19,29,2024-09-13
171,188,29,12,2024-05-21
172,189,97,2,2024-08-24
173,191,30,20,2024-06-19
174,192,67,5,2024-05-15
175,193,58,23,2024-12-02
176,194,63,13,2024-04-30
177,195,97,19,2024-05-03
178,196,28,10,2024-12-01
179,197,7,7,2024-07-20
180,198,19,10,2024-09-29
181,199,35,10,2024-03-23
182,201,75,5,2024-10-14
183,202,77,22,2024-06-30
184,203,25,1,2024-03-12
185,204,56,19,2024-04-05
186,205,9,5,2024-01-09
187,206,27,1,2024-09-09
188,207,28,4,2025-01-07
189,208,63,1,2024-03-12
190,209,29,5,2024-09-04
191,210,48,17,2024-05-20
192,211,77,9,2024-02-16
193,212,81,6,2024-12-19
194,213,56,4,2024-08-04
195,214,9,7,2024-05-15
196,215,54,1,2024-05-11
197,216,48,2,2024-03-11
198,217,9,5,2024-05-01
199,218,17,5,2024-09-07
200,219,56,2,2024-10-25
201,220,68,7,2025-01-09
202,221,6,4,2024-11-19
203,222,28,5,2024-11-25
204,223,76,3,2024-11-27
205,224,9,2,2024-03-20
206,226,37,15,2024-11-19
207,227,29,6,2024-04-16
208,228,60,2,2024-10-24
209,229,32,16,2024-03-15
210,230,9,2,2024-04-17
211,231,45,21,2024-05-25
212,232,56,14,2024-04-30
213,233,25,3,2024-07-07
214,234,28,5,2024-12-27
215,235,38,1,2024-10-06
216,236,93,25,2024-10-02
217,237,28,15,2024-09-28
218,238,61,27,2024-09-08
219,241,27,4,2024-12-18
220,242,91,1,2024-12-21
221,243,63,15,2024-01-28
222,244,56,4,2024-08-09
223,245,58,20,2024-07-29
224,246,10,1,2024-06-28
225,248,41,2,2024-06-03
226,249,46,1,2024-08-11
227,250,63,3,2024-08-31
228,251,56,25,2024-12-16
229,252,29,10,2024-04-26
230,253,9,6,2024-01-24
231,254,58,3,2024-09-16
232,255,20,21,2024-11-11
233,256,9,5,2024-06-22
234,257,63,6,2024-05-01
235,258,34,4,2024-10-21
236,259,77,11,2024-03-01
237,260,3,6,2024-01-10
238,261,56,10,2024-07-24
239,262,14,3,2024-11-30
240,263,53,4,2024-03-18
241,264,75,3,2024-08-14
242,265,29,29,2024-11-18
243,266,16,8,2024-03-16
244,267,18,7,2024-03-20
245,268,73,4,2024-10-21
246,269,88,1,2024-05-02
247,270,18,2,2024-01-10
248,271,34,5,2024-09-01
249,273,20,3,2024-10-28
250,274,47,3,2024-04-03
251,275,95,1,2024-07-07
252,276,56,6,2024-07-30
253,277,9,8,2024-02-18
254,278,55,3,2024-05-01
255,279,9,1,2024-08-25
256,280,68,5,2024-12-13
257,281,9,11,2024-03-07
258,282,27,2,2024-05-16
259,283,5,4,2024-09-15
260,284,63,2,2024-06-30
261,285,16,12,2024-06-06
262,286,7,2,2024-06-10
263,287,29,5,2024-02-29
264,288,1,19,2024-04-13
265,289,62,3,2024-09-03
266,290,83,1,2024-04-17
267,291,28,7,2024-09-01
268,292,45,8,2024-10-05
269,295,20,18,2024-07-23
270,296,69,15,2024-02-11
271,297,28,4,2024-05-25
272,298,27,21,2024-08-27
273,299,42,1,2024-07-03
274,301,89,1,2024-08-03
275,303,63,11,2024-02-25
276,304,74,10,2024-06-30
277,305,27,1,2024-10-11
278,306,27,1,2024-02-09
279,307,27,4,2024-08-02
280,308,99,1,2025-01-01
281,310,17,11,2024-01-04
282,311,27,1,2024-06-10
283,312,69,2,2024-05-02
284,313,4,3,2024-07-13
285,314,84,8,2024-02-01
286,316,27,5,2024-08-07
287,317,29,9,2024-01-23
288,318,63,2,2024-06-01
289,319,29,4,2024-03-08
290,320,18,3,2024-01-27
291,321,9,7,2024-04-10
292,322,63,3,2024-10-29
293,323,73,6,2024-04-07
294,324,63,2,2024-11-11
295,326,27,1,2024-03-18
296,327,39,3,2024-04-01
297,328,29,17,2024-05-25
298,330,28,2,2024-11-02
299,331,28,10,2024-03-05
300,332,63,9,2024-05-21
301,333,56,8,2024-12-02
302,334,92,1,2024-07-23
303,335,27,16,2024-12-29
304,336,56,3,2024-03-26
305,337,26,12,2024-10-20
306,339,27,14,2024-07-12
307,340,17,1,2024-04-03
308,341,29,11,2024-06-08
309,342,9,10,2024-04-02
310,343,12,8,2024-08-19
311,344,29,7,2024-02-22
312,345,46,4,2024-06-21
313,346,19,4,2024-02-20
314,347,39,20,2024-12-20
315,348,27,11,2024-12-11
316,349,28,9,2024-10-17
317,350,4,9,2024-01-10
318,351,29,25,2024-02-18
319,352,76,22,2024-04-23
320,353,66,9,2024-08-18
321,354,63,2,2024-03-31
322,356,29,8,2024-08-22
323,357,63,10,2024-04-07
324,358,58,4,2024-12-07
325,359,63,3,2024-11-03
326,360,91,1,2024-08-21
327,361,13,5,2024-01-24
328,362,2,8,2024-08-03
329,363,91,10,2024-11-13
330,364,28,3,2024-12-04
331,365,25,2,2024-05-16
332,366,58,8,2024-10-25
333,367,29,22,2024-01-30
334,368,96,7,2024-09-27
335,369,56,8,2024-11-10
336,370,27,5,2024-01-26
337,371,18,7,2024-09-25
338,372,77,1,2024-07-16
339,373,17,4,2024-03-16
340,374,9,21,2024-01-07
341,375,27,5,2024-12-23
342,376,58,6,2024-10-12
343,378,29,16,2024-02-09
344,379,72,7,2024-03-15
345,380,56,4,2024-05-22
346,381,2,6,2024-06-25
347,382,29,24,2024-11-10
348,383,11,4,2024-03-23
349,384,9,5,2024-01-28
350,385,29,10,2024-10-04
351,386,64,2,2024-11-18
352,387,54,20,2024-05-12
353,388,56,4,2024-07-17
354,389,63,6,2024-08-11
355,393,56,9,2024-02-08
356,394,64,2,2024-07-02
357,395,17,2,2024-06-17
358,397,44,1,2024-09-04
359,398,27,1,2024-06-20
360,399,28,16,2024-10-30
361,400,32,5,2024-12-18
362,401,38,10,2024-03-29
363,402,48,3,2024-11-05
364,403,29,10,2024-06-29
365,407,83,2,2024-05-29
366,408,29,6,2024-08-25
367,409,28,2,2024-05-18
368,410,93,3,2024-02-14
369,411,84,5,2024-02-21
370,412,72,27,2024-09-15
371,413,30,4,2024-07-16
372,414,28,5,2024-07-23
373,415,27,3,2024-10-17
374,417,8,2,2024-12-21
375,418,56,28,2024-06-12
376,419,42,5,2024-02-07
377,420,56,5,2024-09-10
378,421,56,5,2024-02-18
379,422,9,3,2024-11-23
380,424,42,1,2024-02-04
381,425,86,3,2024-05-06
382,427,14,4,2024-12-26
383,428,21,9,2024-10-21
384,430,97,24,2024-10-29
385,431,60,9,2024-12-21
386,433,63,20,2024-01-23
387,434,63,4,2024-05-27
388,435,42,7,2024-10-01
389,436,67,2,2024-02-21
390,437,50,23,2024-08-11
391,438,9,11,2024-10-08
392,439,47,1,2024-09-24
393,440,56,1,2024-11-30
394,442,68,19,2024-11-18
395,443,9,18,2024-03-29
396,444,27,13,2024-02-29
397,445,27,9,2024-03-22
398,446,87,8,2024-11-14
399,448,63,5,2024-06-25
400,449,43,6,2024-05-25
401,450,23,17,2024-03-16
402,451,77,17,2024-04-13
403,452,46,24,2024-06-15
404,453,20,4,2024-04-12
405,454,27,27,2024-09-18
406,455,12,5,2024-04-10
407,456,97,3,2024-11-18
408,457,9,9,2024-02-07
409,458,30,2,2024-06-16
410,459,63,27,2024-02-21
411,460,19,3,2024-01-07
412,461,9,3,2024-05-17
413,462,15,4,2024-05-23
414,463,56,11,2024-12-08
415,464,28,26,2024-01-22
416,465,1,12,2024-02-14
417,467,14,1,2024-08-27
418,468,10,7,2024-04-07
419,469,29,23,2024-12-12
420,470,24,28,2024-08-10
421,471,21,2,2024-06-06
422,472,55,4,2024-07-29
423,473,97,4,2024-03-30
424,475,69,10,2024-08-31
425,476,29,16,2024-06-19
426,478,27,13,2024-09-19
427,479,56,20,2024-08-20
428,480,13,1,2024-12-05
429,481,41,1,2024-04-11
430,482,47,5,2024-05-19
431,483,9,3,2024-12-07
432,484,33,17,2024-01-15
433,486,29,1,2024-09-22
434,487,52,7,2024-01-15
435,488,63,5,2024-12-18
436,489,60,1,2024-05-20
437,490,4,16,2024-06-18
438,491,28,5,2024-12-01
439,492,63,16,2024-12-08
440,493,29,5,2024-02-25
441,494,58,6,2024-06-01
442,495,9,5,2024-02-27
443,497,58,4,2024-02-29
444,498,71,7,2024-01-28
445,499,9,23,2024-12-26
446,500,91,1,2024-11-10
447,501,1,5,2024-09-08
448,502,52,11,2024-04-09
449,503,70,30,2024-05-09
